"core_id","ring_id","year","incr_mm"
729,95765,1950,0.62
729,95766,1951,0.5
729,95767,1952,0.42
729,95768,1953,0.48
729,95769,1954,0.47
729,95770,1955,0.56
729,95771,1956,0.32
729,95772,1957,0.62
729,95773,1958,0.35
729,95774,1959,0.58
729,95775,1960,0.72
729,95776,1961,0.56
729,95777,1962,0.56
729,95778,1963,0.62
729,95779,1964,0.38
729,95780,1965,0.13
729,95781,1966,0.28
729,95782,1967,0.37
729,95783,1968,0.34
729,95784,1969,0.34
729,95785,1970,0.41
729,95786,1971,0.17
729,95787,1972,0.31
729,95788,1973,0.36
729,95789,1974,0.15
729,95790,1975,0.24
729,95791,1976,0.14
729,95792,1977,0.16
729,95793,1978,0.12
729,95794,1979,0.32
729,95795,1980,0.08
729,95796,1981,0.28
729,95797,1982,0.18
729,95798,1983,0.18
729,95799,1984,0.34
2960,95800,1831,0.36
2960,95801,1832,0.36
2960,95802,1833,0.77
2960,95803,1834,0.58
2960,95804,1835,0.18
2960,95805,1836,0.28
2960,95806,1837,0.04
2960,95807,1838,0.06
2960,95808,1839,0.05
2960,95809,1840,0.12
2960,95810,1841,0.1
2960,95811,1842,0.19
2960,95812,1843,0.06
2960,95813,1844,0.08
2960,95814,1845,0.2
2960,95815,1846,0.2
2960,95816,1847,0.23
2960,95817,1848,0.19
2960,95818,1849,0.05
2960,95819,1850,0.07
2960,95820,1851,0.04
2960,95821,1852,0.04
2960,95822,1853,0.19
2960,95823,1854,0.16
2960,95824,1855,0.22
2960,95825,1856,0.44
2960,95826,1857,0.48
2960,95827,1858,0.44
2960,95828,1859,0.57
2960,95829,1860,0.91
2960,95830,1861,0.61
2960,95831,1862,0.8
2960,95832,1863,0.53
2960,95833,1864,0.84
2960,95834,1865,0.8
2960,95835,1866,0.78
2960,95836,1867,2.38
2960,95837,1868,3.27
2960,95838,1869,1.46
2960,95839,1870,1.29
2960,95840,1871,0.86
2960,95841,1872,0.74
2960,95842,1873,1.24
2960,95843,1874,0.82
2960,95844,1875,1.03
2960,95845,1876,1.28
2960,95846,1877,1.44
2960,95847,1878,1.61
2960,95848,1879,1.04
2960,95849,1880,1.38
2960,95850,1881,2.39
2960,95851,1882,2.16
2960,95852,1883,2
2960,95853,1884,3.98
2960,95854,1885,2.6
2960,95855,1886,2.05
2960,95856,1887,1.38
2960,95857,1888,1.5
2960,95858,1889,1.42
2960,95859,1890,1.22
2960,95860,1891,0.92
2960,95861,1892,0.83
2960,95862,1893,0.52
2960,95863,1894,0.45
2960,95864,1895,0.88
2960,95865,1896,0.86
2960,95866,1897,1.45
2960,95867,1898,1.68
2960,95868,1899,1.68
2960,95869,1900,1.36
2960,95870,1901,1.64
2960,95871,1902,1.24
2960,95872,1903,1.38
2960,95873,1904,1.06
2960,95874,1905,0.8
2960,95875,1906,1.06
2960,95876,1907,1
2960,95877,1908,0.64
2960,95878,1909,0.64
2960,95879,1910,0.54
2960,95880,1911,0.62
2960,95881,1912,1
2960,95882,1913,0.87
2960,95883,1914,0.69
2960,95884,1915,0.58
2960,95885,1916,0.76
2960,95886,1917,0.78
2960,95887,1918,0.51
2960,95888,1919,0.74
2960,95889,1920,0.5
2960,95890,1921,0.64
2960,95891,1922,0.54
2960,95892,1923,0.34
2960,95893,1924,0.44
2960,95894,1925,0.78
2960,95895,1926,1.06
2960,95896,1927,1.12
2960,95897,1928,1.23
2960,95898,1929,1.5
2960,95899,1930,1.24
2960,95900,1931,1.53
2960,95901,1932,1.42
2960,95902,1933,1.02
2960,95903,1934,0.96
2960,95904,1935,0.66
2960,95905,1936,0.62
2960,95906,1937,0.57
2960,95907,1938,0.36
2960,95908,1939,0.56
2960,95909,1940,0.64
2960,95910,1941,0.6
2960,95911,1942,0.83
2960,95912,1943,0.78
2960,95913,1944,0.8
2960,95914,1945,0.96
2960,95915,1946,1.02
2960,95916,1947,0.82
2960,95917,1948,0.6
2960,95918,1949,0.5
2960,95919,1950,0.56
2960,95920,1951,0.52
2960,95921,1952,0.3
2960,95922,1953,0.52
2960,95923,1954,0.42
2960,95924,1955,0.58
2960,95925,1956,0.3
2960,95926,1957,0.5
2960,95927,1958,0.76
2960,95928,1959,0.81
2960,95929,1960,0.78
2960,95930,1961,0.52
2960,95931,1962,0.55
2960,95932,1963,0.58
2960,95933,1964,0.43
2960,95934,1965,0.3
2960,95935,1966,0.57
2960,95936,1967,0.55
2960,95937,1968,0.32
2960,95938,1969,0.43
2960,95939,1970,0.38
2960,95940,1971,0.2
2960,95941,1972,0.46
2960,95942,1973,0.6
2960,95943,1974,0.26
2960,95944,1975,0.64
2960,95945,1976,0.2
2960,95946,1977,0.44
2960,95947,1978,0.46
2960,95948,1979,0.99
2960,95949,1980,0.53
2960,95950,1981,0.74
2960,95951,1982,0.56
2960,95952,1983,0.42
2960,95953,1984,0.25
2960,95954,1985,0.2
2960,95955,1986,0.31
2960,95956,1987,0.09
2960,95957,1988,0.18
2960,95958,1989,0.26
2960,95959,1990,0.14
2960,95960,1991,0.01
2960,95961,1992,0.3
2960,95962,1993,0.3
2960,95963,1994,0.28
2960,95964,1995,0.12
2960,95965,1996,0.01
2960,95966,1997,0.22
2960,95967,1998,0.32
2960,95968,1999,0.28
2960,95969,2000,0.35
2960,95970,2001,0.45
2960,95971,2002,0.32
2960,95972,2003,0.33
2960,95973,2004,0.15
2960,95974,2005,0.24
2960,95975,2006,0.16
2961,95976,1843,1.62
2961,95977,1844,2.24
2961,95978,1845,3.18
2961,95979,1846,4.04
2961,95980,1847,2.76
2961,95981,1848,1.32
2961,95982,1849,0.97
2961,95983,1850,1.15
2961,95984,1851,0.67
2961,95985,1852,0.73
2961,95986,1853,0.77
2961,95987,1854,0.67
2961,95988,1855,0.6
2961,95989,1856,0.73
2961,95990,1857,0.94
2961,95991,1858,1.18
2961,95992,1859,1.16
2961,95993,1860,1.72
2961,95994,1861,1.6
2961,95995,1862,1.9
2961,95996,1863,1.98
2961,95997,1864,1.74
2961,95998,1865,1.34
2961,95999,1866,1.74
2961,96000,1867,2.11
2961,96001,1868,2.02
2961,96002,1869,1.34
2961,96003,1870,1.06
2961,96004,1871,0.8
2961,96005,1872,0.86
2961,96006,1873,1.14
2961,96007,1874,1.1
2961,96008,1875,1.16
2961,96009,1876,1.42
2961,96010,1877,1.52
2961,96011,1878,1.34
2961,96012,1879,1.28
2961,96013,1880,1.75
2961,96014,1881,2.29
2961,96015,1882,1.92
2961,96016,1883,1.96
2961,96017,1884,1.68
2961,96018,1885,1.67
2961,96019,1886,1.36
2961,96020,1887,1.55
2961,96021,1888,1.18
2961,96022,1889,1.32
2961,96023,1890,1.02
2961,96024,1891,0.83
2961,96025,1892,0.8
2961,96026,1893,0.62
2961,96027,1894,0.88
2961,96028,1895,0.99
2961,96029,1896,0.71
2961,96030,1897,0.8
2961,96031,1898,0.74
2961,96032,1899,1.03
2961,96033,1900,1.02
2961,96034,1901,1.15
2961,96035,1902,1.06
2961,96036,1903,1.06
2961,96037,1904,0.66
2961,96038,1905,0.55
2961,96039,1906,0.47
2961,96040,1907,0.6
2961,96041,1908,0.66
2961,96042,1909,0.69
2961,96043,1910,0.72
2961,96044,1911,0.8
2961,96045,1912,0.84
2961,96046,1913,0.7
2961,96047,1914,0.76
2961,96048,1915,0.49
2961,96049,1916,0.49
2961,96050,1917,0.61
2961,96051,1918,0.54
2961,96052,1919,0.68
2961,96053,1920,0.48
2961,96054,1921,0.5
2961,96055,1922,0.47
2961,96056,1923,0.34
2961,96057,1924,0.7
2961,96058,1925,0.63
2961,96059,1926,0.6
2961,96060,1927,0.76
2961,96061,1928,0.71
2961,96062,1929,0.88
2961,96063,1930,0.92
2961,96064,1931,1.26
2961,96065,1932,1.08
2961,96066,1933,0.96
2961,96067,1934,0.88
2961,96068,1935,0.95
2961,96069,1936,0.88
2961,96070,1937,0.52
2961,96071,1938,0.49
2961,96072,1939,0.55
2961,96073,1940,0.54
2961,96074,1941,0.52
2961,96075,1942,0.36
2961,96076,1943,0.56
2961,96077,1944,0.62
2961,96078,1945,0.78
2961,96079,1946,0.93
2961,96080,1947,0.89
2961,96081,1948,0.5
2961,96082,1949,0.61
2961,96083,1950,0.78
2961,96084,1951,0.5
2961,96085,1952,0.59
2961,96086,1953,0.54
2961,96087,1954,0.56
2961,96088,1955,0.7
2961,96089,1956,0.34
2961,96090,1957,0.82
2961,96091,1958,0.61
2961,96092,1959,1.14
2961,96093,1960,1.44
2961,96094,1961,1.08
2961,96095,1962,0.76
2961,96096,1963,1.14
2961,96097,1964,1.14
2961,96098,1965,0.9
2961,96099,1966,1.06
2961,96100,1967,0.74
2961,96101,1968,0.64
2961,96102,1969,0.69
2961,96103,1970,0.92
2961,96104,1971,0.52
2961,96105,1972,0.65
2961,96106,1973,0.94
2961,96107,1974,0.51
2961,96108,1975,0.57
2961,96109,1976,0.38
2961,96110,1977,0.82
2961,96111,1978,0.57
2961,96112,1979,0.74
2961,96113,1980,0.1
2961,96114,1981,0.34
2961,96115,1982,0.24
2961,96116,1983,0.52
2961,96117,1984,0.29
2961,96118,1985,0.3
2961,96119,1986,0.58
2961,96120,1987,0.32
2961,96121,1988,0.42
2961,96122,1989,0.56
2961,96123,1990,0.66
2961,96124,1991,0.57
2961,96125,1992,0.61
2961,96126,1993,0.71
2961,96127,1994,0.7
2961,96128,1995,0.32
2961,96129,1996,0.27
2961,96130,1997,0.28
2961,96131,1998,0.44
2961,96132,1999,0.52
2961,96133,2000,0.4
2961,96134,2001,0.76
2961,96135,2002,0.58
2961,96136,2003,0.61
2961,96137,2004,0.16
2961,96138,2005,0.36
2961,96139,2006,0.38
2962,96140,1771,1.87
2962,96141,1772,1.3
2962,96142,1773,1.78
2962,96143,1774,1.34
2962,96144,1775,1.04
2962,96145,1776,0.78
2962,96146,1777,1.56
2962,96147,1778,2.89
2962,96148,1779,4.64
2962,96149,1780,1.02
2962,96150,1781,0.68
2962,96151,1782,0.58
2962,96152,1783,0.68
2962,96153,1784,0.34
2962,96154,1785,0.42
2962,96155,1786,0.34
2962,96156,1787,0.3
2962,96157,1788,0.56
2962,96158,1789,1.08
2962,96159,1790,1.26
2962,96160,1791,1.24
2962,96161,1792,1.8
2962,96162,1793,2.34
2962,96163,1794,1.98
2962,96164,1795,1.74
2962,96165,1796,1.56
2962,96166,1797,1.16
2962,96167,1798,1.22
2962,96168,1799,1.38
2962,96169,1800,1.28
2962,96170,1801,1.67
2962,96171,1802,1.51
2962,96172,1803,1.29
2962,96173,1804,1.22
2962,96174,1805,0.94
2962,96175,1806,0.7
2962,96176,1807,1.56
2962,96177,1808,0.88
2962,96178,1809,1.23
2962,96179,1810,1.11
2962,96180,1811,1.34
2962,96181,1812,1
2962,96182,1813,1.27
2962,96183,1814,1.58
2962,96184,1815,1.28
2962,96185,1816,1.12
2962,96186,1817,0.96
2962,96187,1818,0.81
2962,96188,1819,0.93
2962,96189,1820,1.22
2962,96190,1821,0.72
2962,96191,1822,1.71
2962,96192,1823,1.04
2962,96193,1824,1.36
2962,96194,1825,1.42
2962,96195,1826,1.16
2962,96196,1827,1.12
2962,96197,1828,1.19
2962,96198,1829,1.58
2962,96199,1830,1.18
2962,96200,1831,1.32
2962,96201,1832,0.76
2962,96202,1833,1.09
2962,96203,1834,1.18
2962,96204,1835,0.63
2962,96205,1836,0.86
2962,96206,1837,0.8
2962,96207,1838,0.74
2962,96208,1839,1.06
2962,96209,1840,1.03
2962,96210,1841,0.92
2962,96211,1842,1.36
2962,96212,1843,0.72
2962,96213,1844,0.87
2962,96214,1845,1.26
2962,96215,1846,1.66
2962,96216,1847,1.26
2962,96217,1848,0.88
2962,96218,1849,0.89
2962,96219,1850,0.86
2962,96220,1851,0.58
2962,96221,1852,0.38
2962,96222,1853,0.42
2962,96223,1854,0.46
2962,96224,1855,0.58
2962,96225,1856,0.65
2962,96226,1857,0.66
2962,96227,1858,0.83
2962,96228,1859,0.7
2962,96229,1860,0.86
2962,96230,1861,0.6
2962,96231,1862,0.77
2962,96232,1863,0.82
2962,96233,1864,0.97
2962,96234,1865,0.92
2962,96235,1866,1.08
2962,96236,1867,1.16
2962,96237,1868,1.01
2962,96238,1869,0.8
2962,96239,1870,0.86
2962,96240,1871,0.84
2962,96241,1872,0.86
2962,96242,1873,1.36
2962,96243,1874,1.1
2962,96244,1875,1.26
2962,96245,1876,1.4
2962,96246,1877,1.06
2962,96247,1878,1.24
2962,96248,1879,1.04
2962,96249,1880,0.86
2962,96250,1881,1.81
2962,96251,1882,1.38
2962,96252,1883,1.29
2962,96253,1884,1.46
2962,96254,1885,1.16
2962,96255,1886,0.9
2962,96256,1887,1.36
2962,96257,1888,1.16
2962,96258,1889,1.02
2962,96259,1890,0.74
2962,96260,1891,0.82
2962,96261,1892,0.87
2962,96262,1893,0.96
2962,96263,1894,1.2
2962,96264,1895,1.56
2962,96265,1896,1.18
2962,96266,1897,1.28
2962,96267,1898,0.91
2962,96268,1899,1.03
2962,96269,1900,1.11
2962,96270,1901,1.22
2962,96271,1902,1.04
2962,96272,1903,1.05
2962,96273,1904,0.84
2962,96274,1905,0.62
2962,96275,1906,0.48
2962,96276,1907,0.67
2962,96277,1908,0.82
2962,96278,1909,0.7
2962,96279,1910,0.76
2962,96280,1911,0.96
2962,96281,1912,0.56
2962,96282,1913,0.62
2962,96283,1914,0.81
2962,96284,1915,0.64
2962,96285,1916,0.5
2962,96286,1917,0.88
2962,96287,1918,0.42
2962,96288,1919,0.72
2962,96289,1920,0.38
2962,96290,1921,0.58
2962,96291,1922,0.54
2962,96292,1923,0.33
2962,96293,1924,0.8
2962,96294,1925,0.75
2962,96295,1926,0.68
2962,96296,1927,0.98
2962,96297,1928,0.72
2962,96298,1929,0.72
2962,96299,1930,0.66
2962,96300,1931,1.14
2962,96301,1932,0.93
2962,96302,1933,0.67
2962,96303,1934,0.75
2962,96304,1935,0.89
2962,96305,1936,0.7
2962,96306,1937,0.58
2962,96307,1938,0.46
2962,96308,1939,0.56
2962,96309,1940,0.45
2962,96310,1941,0.58
